route	count
main	2435
main-main	1459
main-main-main	850
main-main-main-main	549
main-main-main-main-main	321
main-main-main-main-main-main	168
main-archive	153
main-rabota	145
main-internet	122
main-main-main-main-main-main-main	118
main-news	102
main-bonus	99
main-rabota-rabota	92
main-main-rabota	86
main-main-archive	84
main-archive-archive	84
main-tariffs	80
main-online	76
main-main-bonus	73
main-internet-internet	73
main-vklad	72
main-main-news	68
main-main-main-archive	65
main-bonus-bonus	62
main-main-main-main-main-main-main-main	58
main-main-online	55
main-news-news	53
main-bonus-bonus-bonus	52
main-archive-archive-archive	51
main-main-main-internet	51
